geom;Адрес;Провайдер;Скорость;Примечание;Наименование;Признак;Буферная зона
"POINT (29.945629 59.320155)";"Большой проспект, 104Б, село Рождествено";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);МФЦ ;Соц.объекты;30
"POINT (30.349375 59.408714)";"ул. Жертв Революции, 25, городской посёлок Вырица";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);МФЦ ;Соц.объекты;30
"POINT (29.768498 59.492275)";"ул. Леонида Басова, 14, посёлок Елизаветино";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);МФЦ ;Соц.объекты;30
"POINT (29.84966 59.553201)";"д. Сяськелево, 1А";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);МФЦ ;Соц.объекты;30
"POINT (30.105699 59.664435)";"Санаторская ул., 1А, городской посёлок Тайцы";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);МФЦ ;Соц.объекты;30
"POINT (30.121255 59.568577)";"г. Гатчина, пр. 25-го октября,д. 10, Стадион ""Спартак""";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Спартак;Соц.объекты;30
"POINT (30.142808 59.57062)";"г. Гатчина, пересечение ул. 7-й Армии и ул. Чехова";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Спортивная площадка;Соц.объекты;30
"POINT (29.784134 59.507606)";"площадь Дружбы, 41, посёлок Елизаветино";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"МБУК ""Елизаветинский КДЦ""";Объект культуры;30
"POINT (30.097834 59.436302)";"Школьная улица, 2, посёлок Прибытково";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Библиотека ""Усадьба Адмирала Прибыткова""";Объект культуры;30
"POINT (30.117784 59.563286)";"проспект 25 Октября, 1, Гатчина";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"ДК ""Гатчинский""";Объект культуры;30
"POINT (30.122649 59.569877)";"проспект 25 Октября, 18, Гатчина";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Музей города Гатчины;Объект культуры;30
"POINT (30.135419 59.565107)";"улица Володарского, 17, Гатчина";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);Центральная городская библиотека им. А. И. Куприна;Объект культуры;30
"POINT (30.069137 59.354361)";"Вокзальная улица, 12, городской посёлок Сиверский";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"МБУК СККЦ ""Юбилейный""";Объект культуры;30
"POINT (30.120152 59.564905)";"проспект 25 Октября, 5";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Киноконцертный зал ""Победа""";Объект культуры;30
"POINT (30.119771 59.566948)";"проспект 25 Октября, 5";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);МБОУ «Гатчинская СОШ № 11»;Объект образования;30
"POINT (30.406742 59.628803)";"г. Коммунар, ул. Ижорская, д. 14";;;Доступна авторизация  через ГосУслуги;МБОУ «Коммунарская СОШ № 2»;Объект образования;30
"POINT (29.964357 59.530019)";"п. Войсковицы, пл. Манина, дом 21";;;Доступна авторизация  через ГосУслуги;МБОУ «Войсковицкая СОШ № 1»;Объект образования;30
"POINT (30.131821 59.34781)";"Белогорка, ул.Институтская, д.11 А";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);МБОУ «Белогорская начальная школа- детский сад»;Объект образования;30
"POINT (30.139044 59.571049)";" г. Гатчина, ул. 7 Армии, д. 22А";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан-пивоварня ""Пражский дворик""  ";Заведение общественного питания;30
"POINT (30.12653 59.566012)";"г. Гатчина, ул. Соборная, д. 18";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Кафе-бар-пиццерия ""Кальчо""";Заведение общественного питания;30
"POINT (30.119146 59.564517)";"г. Гатчина, пр. 25 Октября, д. 3";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан ""Павел 1"" ";Заведение общественного питания;30
"POINT (30.121823 59.566377)";" г. Гатчина, ул. Соборная, д. 3А";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан быстрого питания ""Маттибургер""";Заведение общественного питания;30
"POINT (30.127716 59.574654)";" г. Гатчина, пр. 25 Октября, д. 42";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан быстрого питания ""ROSTIKS""";Заведение общественного питания;
"POINT (30.138639 59.583594)";" г. Гатчина, Ленинградское шоссе, д. 12";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан быстрого питания ""Вкусно и точка""";Заведение общественного питания;30
"POINT (30.12538 59.573587)";"г. Гатчина, пр. 25 Октября, д. 40";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан ""Токио Сити""";Заведение общественного питания;30
"POINT (30.121823 59.566377)";"г. Гатчина, ул. Соборная, д. 3А           ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан ""Пхали-Хинкали""";Заведение общественного питания;30
"POINT (30.126584 59.568378)";" г. Гатчина, ул. Радищева, д. 6А";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан ""Копчёные Кости"" ";Заведение общественного питания;30
"POINT (30.135262 59.577556)";" г. Гатчина, пр. 25 Октября, д. 59  ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан ""Евразия"" ";Заведение общественного питания;30
"POINT (30.118697 59.566578)";" г. Гатчина, пр. 25 Октября, д.2";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан ""Дубок""";Заведение общественного питания;30
"POINT (30.120044 59.57495)";"г.Гатчина, ул. Академика Константинова, д. 10 ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан-Кафе ""Бакинский дворик"" ";Заведение общественного питания;30
"POINT (30.115535 59.576417)";" г. Гатчина, ул. Крупской, д. 8       ";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Ресторан ""Райское торжество""";Заведение общественного питания;30
"POINT (30.126404 59.571044)";" г. Гатчина, ул. Киргетова, д. 8А";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Кафе ""Колибри""";Заведение общественного питания;30
"POINT (30.122353 59.566724)";"г. Гатчина, ул. Соборная, д. 2";;;Доступная для подключения  (Открытая сеть с доп.авторизацией по номеру телефона);"Кафе ""Гатчинский хлеб""";Заведение общественного питания;30
